"","GEOID","NAME","total_popE","total_popM","incomeE","incomeM","whiteE","whiteM","blackE","blackM","nativeE","nativeM","asianE","asianM","PIE","PIM","HispE","HispM","summary_est","summary_moe","geometry","Wpercent","Bpercent","Npercent","Apercent","PIpercent","Hpercent"
"1","31055005000","Census Tract 50; Douglas County; Nebraska",3447,558,54831,9480,2500,515,197,99,16,18,90,69,0,10,505,175,3447,558,list(c(-95.975061, -95.97506, -95.966456, -95.961519, -95.961548, -95.961618, -95.965782, -95.966436, -95.969015, -95.974558, -95.975076, -95.975061, 41.26392, 41.267941, 41.267932, 41.267978, 41.263831, 41.259743, 41.259735, 41.259669, 41.259636, 41.259655, 41.2613, 41.26392)),72.5268349289237,5.71511459239919,0.464171743545112,2.61096605744125,0,14.6504206556426
"2","31055005200","Census Tract 52; Douglas County; Nebraska",1830,349,37222,11960,163,90,993,340,2,4,229,200,0,10,361,223,1830,349,list(c(-95.966112, -95.966091, -95.966068, -95.956562, -95.956566, -95.9566, -95.966109, -95.966108, -95.966112, 41.276445, 41.277733, 41.281393, 41.281453, 41.276478, 41.272853, 41.272809, 41.273129, 41.276445)),8.90710382513661,54.2622950819672,0.109289617486339,12.5136612021858,0,19.7267759562842
"3","31055005400","Census Tract 54; Douglas County; Nebraska",3594,568,42500,28844,1228,401,1044,331,0,10,270,217,0,10,806,344,3594,568,list(c(-95.983504, -95.983037, -95.983044, -95.980685, -95.980596, -95.980597, -95.972143, -95.972311, -95.972311, -95.975753, -95.975743, -95.975869, -95.976716, -95.977999, -95.977273, -95.983469, -95.983458, -95.983504, 41.28097, 41.281713, 41.283141, 41.283134, 41.283944, 41.288691, 41.288663, 41.28392, 41.281411, 41.281422, 41.277805, 41.277274, 41.27419, 41.274147, 41.273149, 41.273202, 41.277309, 41.28097)),34.1680578742348,29.0484140233723,0,7.51252086811352,0,22.426265998887
"4","31055006101","Census Tract 61.01; Douglas County; Nebraska",2509,726,35575,11372,386,136,1468,686,0,10,178,173,0,10,201,177,2509,726,list(c(-95.987805, -95.98542, -95.985392, -95.985184, -95.98033, -95.976003, -95.975672, -95.975778, -95.975762, -95.975763, -95.975767, -95.975776, -95.975776, -95.975792, -95.980583, -95.984839, -95.984855, -95.987791, -95.987805, 41.311142, 41.31216, 41.314868, 41.322248, 41.324662, 41.326054, 41.325956, 41.325624, 41.319387, 41.315756, 41.314857, 41.311275, 41.310316, 41.306659, 41.306715, 41.30672, 41.310392, 41.310356, 41.311142)),15.3846153846154,58.509366281387,0,7.09445994420088,0,8.01115982463133
"5","31055007439","Census Tract 74.39; Douglas County; Nebraska",4915,589,104415,11399,3314,434,382,241,0,10,279,163,0,10,864,526,4915,589,list(c(-96.119645, -96.105501, -96.100675, -96.097135, -96.09576, -96.095726, -96.09487, -96.100527, -96.106236, -96.106939, -96.119587, -96.119604, -96.119645, 41.292197, 41.292271, 41.292087, 41.291266, 41.289559, 41.280478, 41.277731, 41.27768, 41.27768, 41.277658, 41.277618, 41.280132, 41.292197)),67.4262461851475,7.77212614445575,0,5.676500508647,0,17.5788402848423
"6","31055006603","Census Tract 66.03; Douglas County; Nebraska",3194,854,41810,14723,1306,238,1202,848,0,10,0,10,0,10,567,217,3194,854,list(c(-96.047805, -96.042184, -96.03587, -96.028163, -96.0239, -96.023883, -96.023863, -96.03509, -96.037466, -96.04576, -96.047338, -96.047805, 41.285071, 41.285068, 41.285065, 41.28506, 41.285063, 41.281425, 41.277798, 41.277783, 41.27779, 41.277855, 41.280109, 41.285071)),40.8891671884784,37.6330619912336,0,0,0,17.7520350657483
"7","31055006604","Census Tract 66.04; Douglas County; Nebraska",3848,445,68917,18733,2998,432,339,95,2,4,23,22,0,10,346,229,3848,445,list(c(-96.04576, -96.037466, -96.03509, -96.023863, -96.02384, -96.023872, -96.023874, -96.02388, -96.023881, -96.023871, -96.036291, -96.040332, -96.041068, -96.044105, -96.043508, -96.04576, 41.277855, 41.27779, 41.277783, 41.277798, 41.272347, 41.26983, 41.266912, 41.264404, 41.264152, 41.263283, 41.263302, 41.26871, 41.27056, 41.272385, 41.275566, 41.277855)),77.9106029106029,8.80977130977131,0.051975051975052,0.597713097713098,0,8.99168399168399
"8","31055007429","Census Tract 74.29; Douglas County; Nebraska",3564,1205,126667,32575,3250,1207,50,64,0,10,75,75,0,10,31,34,3564,1205,list(c(-96.166626, -96.162943, -96.157857, -96.148236, -96.143703, -96.138622, -96.138629, -96.13865, -96.138587, -96.151118, -96.153014, -96.153099, -96.154184, -96.15747, -96.158738, -96.160816, -96.161149, -96.161237, -96.161637, -96.164262, -96.166626, 41.248497, 41.248518, 41.248537, 41.248569, 41.248579, 41.248593, 41.240825, 41.238062, 41.233848, 41.23408, 41.234035, 41.234033, 41.233632, 41.233936, 41.233967, 41.237095, 41.240049, 41.240902, 41.242284, 41.246072, 41.248497)),91.1896745230079,1.40291806958474,0,2.1043771043771,0,0.869809203142537
"9","31055007447","Census Tract 74.47; Douglas County; Nebraska",2846,365,96750,26466,2402,238,8,13,0,10,0,10,0,10,273,219,2846,365,list(c(-96.158032, -96.148509, -96.147751, -96.148368, -96.148315, -96.148237, -96.148236, -96.157857, -96.15796, -96.157963, -96.157993, -96.158032, 41.263048, 41.263084, 41.261938, 41.261616, 41.256061, 41.248638, 41.248569, 41.248537, 41.25502, 41.258162, 41.260102, 41.263048)),84.3991567111736,0.28109627547435,0,0,0,9.59241040056219
"10","31055001900","Census Tract 19; Douglas County; Nebraska",2085,249,37661,6805,881,165,390,158,15,18,165,115,0,10,410,182,2085,249,list(c(-95.947107, -95.947023, -95.947031, -95.946914, -95.946889, -95.942383, -95.942255, -95.942226, -95.944633, -95.947048, -95.947107, 41.25169, 41.252394, 41.253112, 41.256612, 41.259771, 41.25974, 41.254337, 41.248162, 41.24816, 41.248958, 41.25169)),42.2541966426859,18.705035971223,0.719424460431655,7.9136690647482,0,19.6642685851319
"11","31055003600","Census Tract 36; Douglas County; Nebraska",3976,426,83717,7786,3443,389,72,54,10,17,174,141,0,10,161,113,3976,426,list(c(-96.014335, -96.004764, -95.997945, -95.990205, -95.987924, -95.988778, -95.992162, -95.992405, -95.995187, -95.997988, -95.999251, -96.002123, -96.002755, -96.004731, -96.009578, -96.009579, -96.014245, -96.014335, 41.248748, 41.24874, 41.24853, 41.248786, 41.248791, 41.246704, 41.24324, 41.241297, 41.240816, 41.238993, 41.238135, 41.237871, 41.237884, 41.23787, 41.237886, 41.24514, 41.245167, 41.248748)),86.5945674044266,1.81086519114688,0.251509054325956,4.37625754527163,0,4.04929577464789
"12","31055004300","Census Tract 43; Douglas County; Nebraska",3021,353,47380,13577,2235,354,56,50,2,4,494,179,0,10,141,78,3021,353,list(c(-95.97578, -95.975775, -95.975752, -95.974558, -95.969015, -95.966436, -95.966144, -95.966153, -95.966157, -95.966159, -95.975784, -95.97578, 41.252405, 41.256021, 41.259659, 41.259655, 41.259636, 41.259669, 41.256001, 41.254198, 41.25239, 41.24877, 41.248768, 41.252405)),73.9821251241311,1.85369083085071,0.066203243958954,16.3522012578616,0,4.66732869910626
"13","31055007514","Census Tract 75.14; Douglas County; Nebraska",4640,491,217500,39304,3859,375,59,56,0,10,384,342,0,10,102,96,4640,491,list(c(-96.234448, -96.234421, -96.225061, -96.215488, -96.196287, -96.196248, -96.196139, -96.215471, -96.215708, -96.234427, -96.234422, -96.234448, 41.248187, 41.248294, 41.24835, 41.248406, 41.248491, 41.245144, 41.234286, 41.233924, 41.233926, 41.23391, 41.243479, 41.248187)),83.1681034482759,1.27155172413793,0,8.27586206896552,0,2.19827586206897
"14","31055007518","Census Tract 75.18; Douglas County; Nebraska",6463,1845,94712,19505,6150,1863,89,139,0,15,22,44,0,15,146,121,6463,1845,list(c(-96.234487, -96.234488, -96.23438, -96.223138, -96.219873, -96.215881, -96.215874, -96.215875, -96.215841, -96.215796, -96.215795, -96.21563, -96.234476, -96.234463, -96.234469, -96.234582, -96.234487, 41.281282, 41.281636, 41.29191, 41.292021, 41.292028, 41.292017, 41.291616, 41.288377, 41.284743, 41.277458, 41.276626, 41.26294, 41.262803, 41.273837, 41.27687, 41.277318, 41.281282)),95.1570478106143,1.37706947238125,0,0.340399195420084,0,2.25901284233328
"15","31055007473","Census Tract 74.73; Douglas County; Nebraska",720,51,69583,9205,436,126,214,131,0,10,0,10,0,10,57,64,720,51,list(c(-96.148509, -96.138757, -96.119614, -96.119574, -96.119575, -96.129073, -96.130398, -96.138622, -96.143703, -96.148236, -96.148237, -96.148315, -96.148368, -96.147751, -96.148509, 41.263084, 41.263108, 41.263124, 41.251828, 41.248635, 41.248612, 41.248608, 41.248593, 41.248579, 41.248569, 41.248638, 41.256061, 41.261616, 41.261938, 41.263084)),60.5555555555556,29.7222222222222,0,0,0,7.91666666666667
"16","31055005700","Census Tract 57; Douglas County; Nebraska",4720,477,55562,4439,2628,467,1151,381,0,10,243,285,0,10,320,157,4720,477,list(c(-96.014353, -96.014345, -96.013093, -96.014342, -96.014309, -96.014289, -96.009503, -96.009531, -96.004733, -96.000448, -95.999892, -95.999893, -95.995059, -95.995065, -95.995061, -95.995047, -95.995049, -96.004781, -96.004766, -96.014363, -96.014353, 41.288657, 41.28956, 41.291365, 41.292333, 41.292813, 41.295908, 41.295889, 41.292272, 41.292272, 41.292278, 41.292281, 41.295915, 41.295933, 41.292314, 41.288671, 41.285027, 41.283225, 41.283174, 41.284972, 41.285022, 41.288657)),55.6779661016949,24.385593220339,0,5.14830508474576,0,6.77966101694915
"17","31055006302","Census Tract 63.02; Douglas County; Nebraska",5271,593,56375,6286,836,208,2052,418,1,2,1572,419,9,15,599,361,5271,593,list(c(-96.014189, -96.011847, -96.011277, -96.005893, -96.004628, -96.004623, -96.004617, -95.990213, -95.987791, -95.984855, -95.984839, -95.985369, -95.985466, -95.990224, -95.995047, -96.004672, -96.014276, -96.014189, 41.303129, 41.303125, 41.304217, 41.305176, 41.30622, 41.306689, 41.310359, 41.310363, 41.310356, 41.310392, 41.30672, 41.306722, 41.299598, 41.299593, 41.299583, 41.29949, 41.299529, 41.303129)),15.8603680516031,38.9299943084804,0.0189717321191425,29.823562891292,0.170745589072282,11.3640675393663
"18","31055007463","Census Tract 74.63; Douglas County; Nebraska",4174,338,81625,11637,3281,411,265,268,0,10,83,83,8,15,421,227,4174,338,list(c(-96.138797, -96.138762, -96.132718, -96.131569, -96.129807, -96.129183, -96.128375, -96.119537, -96.119529, -96.119599, -96.129219, -96.131776, -96.138833, -96.138797, 41.198132, 41.205385, 41.205343, 41.205223, 41.204917, 41.205074, 41.205215, 41.205145, 41.197325, 41.190588, 41.190732, 41.190747, 41.19081, 41.198132)),78.605654048874,6.34882606612362,0,1.98850023957834,0.191662673694298,10.0862482031624
"19","31055007435","Census Tract 74.35; Douglas County; Nebraska",3889,944,79094,17880,2994,795,356,104,0,10,0,10,0,10,403,274,3889,944,list(c(-96.071484, -96.070941, -96.066995, -96.061401, -96.052632, -96.052617, -96.052615, -96.052569, -96.05398, -96.060803, -96.06255, -96.063115, -96.064046, -96.064988, -96.064924, -96.064397, -96.068096, -96.06836, -96.070412, -96.071891, -96.071484, 41.297705, 41.306667, 41.306673, 41.306683, 41.306689, 41.300066, 41.298361, 41.295469, 41.295474, 41.297555, 41.297583, 41.297423, 41.299191, 41.299188, 41.297713, 41.296683, 41.296633, 41.29563, 41.295864, 41.296271, 41.297705)),76.9863718179481,9.15402417073798,0,0,0,10.3625610696837
"20","31055007458","Census Tract 74.58; Douglas County; Nebraska",2509,325,68846,7723,1467,286,206,156,5,7,188,140,0,10,600,283,2509,325,list(c(-96.062189, -96.052567, -96.043028, -96.043014, -96.043024, -96.043005, -96.048263, -96.052399, -96.06199, -96.062097, -96.062189, 41.212487, 41.212481, 41.212494, 41.21229, 41.208956, 41.205302, 41.205317, 41.205331, 41.205332, 41.208973, 41.212487)),58.4695097648465,8.2104424073336,0.199282582702272,7.49302510960542,0,23.9139099242726
"21","31055007468","Census Tract 74.68; Douglas County; Nebraska",2331,293,73077,13831,1753,273,87,89,0,10,0,10,0,10,436,207,2331,293,list(c(-96.043018, -96.038901, -96.031899, -96.023794, -96.023773, -96.023814, -96.024882, -96.033318, -96.033831, -96.042911, -96.043016, -96.043018, 41.198557, 41.199494, 41.199345, 41.199048, 41.193445, 41.190697, 41.190642, 41.190716, 41.190713, 41.190686, 41.19839, 41.198557)),75.2037752037752,3.73230373230373,0,0,0,18.7044187044187
"22","31055006806","Census Tract 68.06; Douglas County; Nebraska",2452,245,54429,12013,1653,257,381,201,0,10,282,146,0,10,72,65,2452,245,list(c(-96.042581, -96.040803, -96.039363, -96.033476, -96.02393, -96.023927, -96.023945, -96.023902, -96.023928, -96.024384, -96.025753, -96.028835, -96.033496, -96.038825, -96.038805, -96.04145, -96.042581, 41.239677, 41.243243, 41.248799, 41.248787, 41.248778, 41.248531, 41.246928, 41.243349, 41.234511, 41.234422, 41.234296, 41.234261, 41.234279, 41.234273, 41.236609, 41.236609, 41.239677)),67.4143556280587,15.5383360522023,0,11.5008156606852,0,2.93637846655791
"23","31055004000","Census Tract 40; Douglas County; Nebraska",3409,413,36328,11257,1972,378,369,157,0,10,30,35,0,10,865,436,3409,413,list(c(-95.961618, -95.956614, -95.946889, -95.946914, -95.947031, -95.947023, -95.953898, -95.961397, -95.961393, -95.961395, -95.961618, 41.259743, 41.259758, 41.259771, 41.256612, 41.253112, 41.252394, 41.252414, 41.252401, 41.25421, 41.256703, 41.259743)),57.8468759166911,10.8242886476973,0,0.880023467292461,0,25.3740099735993
"24","31055007406","Census Tract 74.06; Douglas County; Nebraska",5854,1372,69795,16906,4955,1398,59,57,7,11,88,75,0,15,617,314,5854,1372,list(c(-96.138629, -96.138622, -96.130398, -96.129073, -96.119575, -96.119537, -96.119534, -96.119519, -96.119498, -96.127301, -96.129198, -96.138587, -96.13865, -96.138629, 41.240825, 41.248593, 41.248608, 41.248612, 41.248635, 41.241825, 41.241346, 41.238935, 41.234089, 41.234006, 41.233988, 41.233848, 41.238062, 41.240825)),84.642979159549,1.00785787495729,0.119576358045781,1.5032456440041,0,10.5398018448924
"25","31055007424","Census Tract 74.24; Douglas County; Nebraska",3211,418,53563,8882,2331,331,412,236,2,6,43,51,0,10,179,128,3211,418,list(c(-96.076154, -96.075752, -96.071277, -96.068172, -96.064432, -96.055874, -96.05261, -96.052613, -96.062148, -96.064634, -96.076132, -96.076154, 41.28297, 41.286071, 41.285152, 41.285078, 41.285054, 41.285068, 41.285067, 41.277798, 41.277784, 41.277796, 41.277804, 41.28297)),72.5942074120212,12.8308938025537,0.0622858922454064,1.33914668327624,0,5.57458735596387
"26","31055007506","Census Tract 75.06; Douglas County; Nebraska",3673,513,108816,20314,3114,455,14,23,0,10,281,191,0,10,108,92,3673,513,list(c(-96.28315, -96.276929, -96.273014, -96.268217, -96.268037, -96.261002, -96.254148, -96.248354, -96.245367, -96.237378, -96.23438, -96.234488, -96.234487, -96.234582, -96.234469, -96.234463, -96.234476, -96.24256, -96.251927, -96.254459, -96.256569, -96.262607, -96.264123, -96.267712, -96.272848, -96.274122, -96.276644, -96.275851, -96.275586, -96.275399, -96.276483, -96.281858, -96.282383, -96.28315, 41.293631, 41.294702, 41.294765, 41.294704, 41.294702, 41.294446, 41.292989, 41.291676, 41.291721, 
41.291928, 41.29191, 41.281636, 41.281282, 41.277318, 41.27687, 41.273837, 41.262803, 41.262794, 41.263687, 41.263675, 41.263683, 41.263607, 41.26357, 41.26774, 41.271181, 41.272791, 41.279507, 41.283758, 41.284313, 41.286468, 41.28818, 41.292048, 41.29249, 41.293631)),84.7808331064525,0.381159814865233,0,7.65042199836646,0,2.94037571467465
